,Date,pkts_percentage,bytes_percentage
49,2008-03-19,0.000126414898754,2.61790601961e-05
0,2008-04-30,0.00275382975824,0.000801925935521
1,2008-05-15,0.00144461127836,0.000405018907111
2,2008-06-19,0.00881412651792,0.0103957517371
3,2008-07-17,0.00287714147066,0.000646487612079
4,2008-08-21,0.0014594231711,0.000575367194792
5,2008-09-18,0.00187435129873,0.000330939239415
6,2008-10-16,0.00102486479668,0.000159510772087
7,2008-11-20,0.000850701560974,0.000225826011566
8,2008-12-18,0.00952477637682,0.00172332753124
9,2009-01-15,0.000172098694241,5.54792321172e-05
10,2009-02-19,0.00142040858842,0.000397122283751
11,2009-03-31,0.00282778111976,0.000415648063761
12,2009-04-16,0.00293030586023,0.000443209780633
13,2009-05-21,0.00180628783441,0.000211084124562
14,2009-06-18,0.000973033634169,0.000102357434329
15,2009-07-16,0.0491048377422,0.0078836597834
16,2009-08-20,0.0280051181768,0.0179550721085
17,2009-09-17,0.00220866311295,0.000220284339048
18,2009-10-15,0.0111609871721,0.00600733946096
19,2009-11-19,0.00243402664398,0.00026702099594
20,2009-12-17,0.0161911365661,0.00563861482772
21,2010-01-21,0.0034516199603,0.000386314476889
22,2010-02-25,0.00812829422046,0.00176318712171
23,2010-03-25,0.0134668448635,0.00369665579814
24,2010-04-14,0.0101249210192,0.00235077341237
50,2010-06-17,0.00668087173032,0.00235953410277
51,2010-07-15,0.0443212701099,0.00848238459805
25,2010-08-19,0.0092208527002,0.00183575056266
26,2010-09-16,0.00351683391166,0.000356789863453
27,2010-10-29,0.00868248448558,0.000982550205099
52,2010-12-17,0.00745151021694,0.0046274801363
53,2011-01-20,0.00678261344727,0.00327885643952
28,2011-02-17,0.489862416255,0.416471381176
29,2011-03-24,1.46744531834,0.995693448272
30,2011-04-13,1.34069153828,1.07883473241
31,2011-05-19,1.7428157823,1.0679584654
32,2011-07-21,2.30732397568,1.60736621134
33,2011-08-25,4.1800259323,3.16891085843
54,2011-09-15,0.0105114435951,0.00622849477618
55,2011-10-20,0.019791248283,0.0156746641458
56,2011-11-17,0.00655582409902,0.00102814492297
57,2011-12-22,0.00780851990861,0.00920345434637
58,2012-01-19,0.00220541100721,0.00120987089979
59,2012-02-16,0.0012821441331,0.00021361136805
60,2012-03-15,0.0150518740948,0.0208451830058
61,2012-05-17,0.0075715335013,0.00680465122366
62,2012-06-21,0.050700992032,0.0144362135158
63,2012-07-19,0.000985331532867,0.000370888317199
64,2012-08-16,0.0312460521383,0.01236006722
65,2012-09-20,0.0204915161322,0.00509182613126
66,2012-10-18,0.00321140301088,0.0011309579198
67,2012-11-15,0.0012506895815,0.000423237390464
68,2012-12-20,0.00740484709131,0.00229051133527
69,2013-01-17,0.0395191040197,0.0354069047338
70,2013-02-21,0.00417527544376,0.00352479115157
71,2013-03-21,0.00714213155739,0.00569617131568
72,2013-04-25,0.0137365014914,0.00532665189051
34,2013-05-29,0.332088280642,0.172030497484
35,2013-06-20,0.161506672047,0.0647262149863
36,2013-07-18,0.287385020278,0.145658666022
37,2013-08-15,0.752330928608,0.289157195194
38,2013-09-19,0.250911647232,0.0969140927876
39,2013-10-24,0.178127267835,0.0651339183334
40,2013-11-21,0.431735091247,0.199329464379
41,2013-12-19,0.526477308457,0.345601239509
42,2014-03-20,0.13277362454,0.069129554383
43,2014-06-19,0.0623201809345,0.0157680148419
44,2014-09-18,0.208092282821,0.186420079755
45,2014-12-18,0.0251611563492,0.0228839549272
46,2015-02-19,0.0862688929063,0.023447545422
47,2015-05-21,0.135015475883,0.151810743517
48,2015-09-17,0.210446714461,0.0741353994344
